name,kit,count
SO_TI_133_drum_loop_bordes_hefty_lows.wav,drums,14
SO_TI_95_drum_loop_blooping_playa_bounce.wav_v2,drums,12
SO_TI_95_drum_loop_blooping_playa_bounce.wav_v3,drums,12
SO_TI_95_drum_loop_blooping_playa_bounce.wav,drums,12
DS_GREX_160_drum_loop_dnb.wav,drums,7
OS_SCE_120_melodic_songstarter_travel_Bm.wav,melody,2
OS_RND_140_acoustic_guitar_arp_chords_Fm.wav,melody,3
OS_DRL_140_piano_chords_intro_bax_Cm.wav,melody,1
KMRBI_TDM_145_808_bass_loop_swish_G#m.wav,bass,12
OS_DPS_150_808_seven_Bm.wav,bass,4
OS_RCK_140_drum_loop_borough.wav,drums,10
OS_FIRE_140_drum_loop_global.wav,drums,6
AB_CT2_Zain_Wolf_140_Synth_Stack_Loop_Mercy_Dm_.wav,melody,5
OS_SCE_130_synth_melody_stack_sync_F#m.wav,melody,5
rhh_melodic_loop_lica_90_D#m.wav,melody,1
OS_SCE_150_808_bass_neighbors_Em.wav,bass,4
OS_SCE_120_808_bass_talking_C#m.wav,bass,5
OS_DPS_130_drum_loop_caster.wav,drums,6
OS_DPS_140_drum_loop_backburner.wav,drums,6
OS_DPS_124_drum_loop_tuff.wav,drums,16
AB_CT2_Dabow_150_Synth_Stack_Loop_Change_Me_D#m.wav,melody,4
AB_CT2_Zain_Wolf_143_Synth_Stack_Loop_Twitch_Notification_F#_.wav,melody,3
OS_RND_142_piano_keys_clubbing_Am.wav,melody,3
OS_SCE_150_808_bass_radar_F#m.wav,bass,12
OS_DPS_140_808_donate_Gm.wav,bass,5
SO_TI_130_drum_loop_cougars_leaning.wav_v2,drums,9
SO_TI_130_drum_loop_cougars_leaning.wav_v3,drums,9
SO_TI_130_drum_loop_cougars_leaning.wav,drums,9
AB_CT2_Dabow_132_Melodic_Stack_Loop_Practice_Makes_Perfect_D#m.wav,melody,1
ABDW2_Dabow_West_Coast_Loop_Pressure_Guitar_Dm_98BPM.wav_v2,melody,7
ABDW2_Dabow_West_Coast_Loop_Pressure_Guitar_Dm_98BPM.wav_v3,melody,7
ABDW2_Dabow_West_Coast_Loop_Pressure_Guitar_Dm_98BPM.wav,melody,7
OS_RND_140_808_bass_swag_Gm.wav,bass,3
OS_SCE_130_808_bass_warmth_Cm.wav,bass,9
OS_FIRE_150_drum_loop_mourning.wav,drums,8
AB_CT2_Rudenote_140_Guitar_Stack_Loop_Painkiller_D#m.wav_v2,melody,1
AB_CT2_Rudenote_140_Guitar_Stack_Loop_Painkiller_D#m.wav_v3,melody,1
AB_CT2_Rudenote_140_Guitar_Stack_Loop_Painkiller_D#m.wav,melody,1
OS_RCK_140_melodic_stack_isles_D#m.wav,melody,3
AB_CT2_Rudenote_92_Guitar_Stack_Loop_Goals_Am.wav_v2,melody,1
AB_CT2_Rudenote_92_Guitar_Stack_Loop_Goals_Am.wav_v3,melody,1
AB_CT2_Rudenote_92_Guitar_Stack_Loop_Goals_Am.wav,melody,1
JSB_VB_98_drum_loop_full_fairburn.wav,drums,7
OS_RND_140_songstarter_regulate_Fm.wav,melody,1
ABDW2_Dabow_West_Coast_Loop_Surfing_Waves_Cm_95BPM.wav_v2,melody,1
